AphiaID,Superdomain_name,Superdomain_AphiaID,Domain_name,Domain_AphiaID,Kingdom_name,Kingdom_AphiaID,Subkingdom_name,Subkingdom_AphiaID,Superphylum_name,Superphylum_AphiaID,Phylum_name,Phylum_AphiaID,Subphylum_name,Subphylum_AphiaID,Infraphylum_name,Infraphylum_AphiaID,Parvphylum_name,Parvphylum_AphiaID,Superclass_name,Superclass_AphiaID,Class_name,Class_AphiaID,Subclass_name,Subclass_AphiaID,Infraclass_name,Infraclass_AphiaID,Subterclass_name,Subterclass_AphiaID,Superorder_name,Superorder_AphiaID,Order_name,Order_AphiaID,Suborder_name,Suborder_AphiaID,Infraorder_name,Infraorder_AphiaID,Section_name,Section_AphiaID,Subsection_name,Subsection_AphiaID,Superfamily_name,Superfamily_AphiaID,Family_name,Family_AphiaID,Subfamily_name,Subfamily_AphiaID,Tribe_name,Tribe_AphiaID,Genus_name,Genus_AphiaID,Subgenus_name,Subgenus_AphiaID,Species_name,Species_AphiaID
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Octocorallia,1341.0,,,,,,,,,Malacalcyonacea,1609357.0,,,,,,,,,,,Gorgoniidae,125275.0,,,,,Antillogorgia,367981.0,,,Antillogorgia americana,708859.0
1,,,,,Animalia,2,,,,,Chordata,1821,Vertebrata,146419.0,Gnathostomata,1828.0,Osteichthyes,152352.0,Actinopteri,843664.0,Teleostei,293496.0,,,,,,,,,Perciformes,11014.0,Percoidei,151751.0,,,,,,,,,Serranidae,125561.0,,,,,Hypoplectrus,269456.0,,,Hypoplectrus ecosur,712603.0
1,,,,,Animalia,2,,,,,Chordata,1821,Vertebrata,146419.0,Gnathostomata,1828.0,Chondrichthyes,1517375.0,,,Elasmobranchii,10193.0,Neoselachii,368407.0,Batoidea,368409.0,,,,,Myliobatiformes,196069.0,,,,,,,,,,,Aetobatidae,1517438.0,,,,,Aetobatus,205558.0,,,Aetobatus laticeps,712980.0
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Scleractinia,1363.0,Vacatina,1517259.0,,,,,,,,,Faviidae,196099.0,Faviinae,718680.0,,,Pseudodiploria,718588.0,,,Pseudodiploria clivosa,828326.0
1,,,,,Animalia,2,,,,,Mollusca,51,,,,,,,,,Polyplacophora,55.0,Neoloricata,57.0,,,,,,,Chitonida,382003.0,Chitonina,382004.0,,,,,,,Chitonoidea,385404.0,Ischnochitonidae,69.0,,,,,Stenoplax,367769.0,,,Stenoplax conspicua,848098.0
1,,,,,Animalia,2,,,,,Cnidaria,1267,Anthozoa,1292.0,,,,,,,Hexacorallia,1340.0,,,,,,,,,Actiniaria,1360.0,Enthemonae,888371.0,,,,,,,,,,,,,,,,,,,,
1,,,,,Animalia,2,,,,,Chordata,1821,Vertebrata,146419.0,Gnathostomata,1828.0,Osteichthyes,152352.0,Actinopteri,843664.0,Teleostei,293496.0,,,,,,,,,Ovalentaria incertae sedis,1517546.0,,,,,,,,,,,Pomacentridae,125553.0,,,,,Similiparma,270898.0,,,Similiparma lurida,889885.0
1,,,,,Animalia,2,,,,,Mollusca,51,,,,,,,,,Gastropoda,101.0,Heterobranchia,14712.0,Euthyneura,1057247.0,Ringipleura,1057249.0,Nudipleura,411966.0,Nudibranchia,1762.0,Doridina,1052385.0,Doridoidei,246038.0,,,,,Doridoidea,173.0,Discodorididae,1761.0,,,,,Diaulula,415291.0,,,Diaulula odonoghuei,890436.0
1,,,,,Animalia,2,,,,,Annelida,882,,,,,,,,,Polychaeta,883.0,Sedentaria,754175.0,Scolecida,183607.0,,,,,,,,,,,,,,,,,Maldanidae,923.0,,,,,,,,,,
1,,,,,Animalia,2,,,,,Annelida,882,,,,,,,,,Polychaeta,883.0,Sedentaria,754175.0,Canalipalpata,154974.0,,,,,Terebellida,900.0,Terebelliformia,152292.0,,,,,,,,,Terebellidae,982.0,,,,,,,,,,
1,,,,,Animalia,2,,,,,Annelida,882,,,,,,,,,Polychaeta,883.0,Sedentaria,754175.0,Canalipalpata,154974.0,,,,,Sabellida,901.0,,,,,,,,,,,Sabellidae,985.0,,,,,,,,,,
1,,,,,Animalia,2,,,,,Annelida,882,,,,,,,,,Polychaeta,883.0,Sedentaria,754175.0,Canalipalpata,154974.0,,,,,Sabellida,901.0,,,,,,,,,,,Serpulidae,988.0,,,,,,,,,,
