AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
206732,https://www.marinespecies.org/aphia.php?p=taxdetails&id=206732,Cephalopholis,"Bloch & Schneider, 1801",accepted,,180,Genus,206732,Cephalopholis,"Bloch & Schneider, 1801",1776907,Animalia,Chordata,Teleostei,Perciformes,Epinephelidae,Cephalopholis,"Froese, R. and D. Pauly. Editors. (2024). FishBase. Cephalopholis Bloch & Schneider, 1801. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=206732 on 2024-12-17",urn:lsid:marinespecies.org:taxname:206732,1,1.0,0.0,0.0,,like,2014-11-21T13:09:37.943Z
131868,https://www.marinespecies.org/aphia.php?p=taxdetails&id=131868,Clathria,"Schmidt, 1862",accepted,,180,Genus,131868,Clathria,"Schmidt, 1862",167457,Animalia,Porifera,Demospongiae,Poecilosclerida,Microcionidae,Clathria,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Turner, T.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2024). World Porifera Database. Clathria Schmidt, 1862. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131868 on 2024-12-17",urn:lsid:marinespecies.org:taxname:131868,1,0.0,0.0,0.0,0.0,like,2020-12-13T10:31:54.303Z
164811,https://www.marinespecies.org/aphia.php?p=taxdetails&id=164811,Demospongiae,"Sollas, 1885",accepted,,60,Class,164811,Demospongiae,"Sollas, 1885",558,Animalia,Porifera,Demospongiae,,,,WoRMS (2024). Demospongiae. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=164811 on 2024-12-17,urn:lsid:marinespecies.org:taxname:164811,1,1.0,1.0,0.0,0.0,like,2020-10-22T11:37:08.657Z
123111,https://www.marinespecies.org/aphia.php?p=taxdetails&id=123111,Dendrochirotida,"Grube, 1840",accepted,,100,Order,123111,Dendrochirotida,"Grube, 1840",1393249,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,,,WoRMS (2024). Dendrochirotida. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123111 on 2024-12-17,urn:lsid:marinespecies.org:taxname:123111,1,,0.0,0.0,0.0,like,2019-12-17T19:34:03.573Z
131745,https://www.marinespecies.org/aphia.php?p=taxdetails&id=131745,Dysidea,"Johnston, 1842",accepted,,180,Genus,131745,Dysidea,"Johnston, 1842",131624,Animalia,Porifera,Demospongiae,Dictyoceratida,Dysideidae,Dysidea,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Turner, T.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2024). World Porifera Database. Dysidea Johnston, 1842. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131745 on 2024-12-17",urn:lsid:marinespecies.org:taxname:131745,1,0.0,0.0,0.0,,like,2020-06-17T08:42:31.030Z
149855,https://www.marinespecies.org/aphia.php?p=taxdetails&id=149855,Echinacea,"Claus, 1876",accepted,,85,Subterclass,149855,Echinacea,"Claus, 1876",510517,Animalia,Echinodermata,Echinoidea,,,,"Kroh, A.; Mooi, R. (2024). World Echinoidea Database. Echinacea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=149855 on 2024-12-17",urn:lsid:marinespecies.org:taxname:149855,1,0.0,0.0,0.0,0.0,like,2022-03-23T16:01:24.187Z
179659,https://www.marinespecies.org/aphia.php?p=taxdetails&id=179659,Echinometra,"Gray, 1825",accepted,,180,Genus,179659,Echinometra,"Gray, 1825",179653,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,"Kroh, A.; Mooi, R. (2024). World Echinoidea Database. Echinometra Gray, 1825. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=179659 on 2024-12-17",urn:lsid:marinespecies.org:taxname:179659,1,0.0,0.0,0.0,0.0,like,2010-09-06T12:28:48.800Z
888371,https://www.marinespecies.org/aphia.php?p=taxdetails&id=888371,Enthemonae,"Rodríguez & Daly in Rodríguez et al., 2014",accepted,,110,Suborder,888371,Enthemonae,"Rodríguez & Daly in Rodríguez et al., 2014",1360,Animalia,Cnidaria,Hexacorallia,Actiniaria,,,"Rodríguez, E.; Fautin, D; Daly, M. (2024). World List of Actiniaria. Enthemonae. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=888371 on 2024-12-17",urn:lsid:marinespecies.org:taxname:888371,1,1.0,,0.0,,like,2016-10-22T18:09:45.233Z
137954,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137954,Eubranchus,"Forbes, 1838",accepted,,180,Genus,137954,Eubranchus,"Forbes, 1838",193,Animalia,Mollusca,Gastropoda,Nudibranchia,Eubranchidae,Eubranchus,"MolluscaBase eds. (2024). MolluscaBase. Eubranchus Forbes, 1838. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137954 on 2024-12-17",urn:lsid:marinespecies.org:taxname:137954,1,,0.0,0.0,,like,2017-09-28T13:49:48.007Z
415414,https://www.marinespecies.org/aphia.php?p=taxdetails&id=415414,Gemophos,"Olsson & Harbison, 1953",accepted,,180,Genus,415414,Gemophos,"Olsson & Harbison, 1953",1054108,Animalia,Mollusca,Gastropoda,Neogastropoda,Pisaniidae,Gemophos,"MolluscaBase eds. (2024). MolluscaBase. Gemophos Olsson & Harbison, 1953. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=415414 on 2024-12-17",urn:lsid:marinespecies.org:taxname:415414,1,0.0,0.0,0.0,,like,2024-11-22T04:29:32.747Z
