Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,AphiaID,Infraphylum,Parvphylum,Subclass,Infraclass,Genus,Species,Superfamily,Superclass,Superorder,Infraorder,Section,Subsection,Subterclass,Subgenus,Gigaclass,Subfamily,Megaclass,Tribe
Animalia,Arthropoda,Crustacea,Malacostraca,Decapoda,Pleocyemata,Diogenidae,1,,,Eumalacostraca,,Aniculus,Aniculus elegans,Paguroidea,Multicrustacea,Eucarida,Anomura,,,,,,,,
Animalia,Mollusca,,Polyplacophora,Chitonida,Chitonina,Ischnochitonidae,1,,,Neoloricata,,Stenoplax,,Chitonoidea,,,,,,,,,,,
Animalia,Mollusca,,Bivalvia,Mytilida,,Mytilidae,1,,,Autobranchia,Pteriomorphia,Mytilus,Mytilus californianus,Mytiloidea,,,,,,,,,Mytilinae,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Toxopneustidae,1,,,Euechinoidea,Carinacea,Lytechinus,Lytechinus variegatus,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Asterozoa,Asteroidea,Spinulosida,,Echinasteridae,1,,,Ambuloasteroidea,Neoasteroidea,Henricia,Henricia leviuscula,,,Spinulosacea,,,,,,,,,
Animalia,Echinodermata,Asterozoa,Asteroidea,Forcipulatida,,Asteriidae,1,,,Ambuloasteroidea,Neoasteroidea,Leptasterias,Leptasterias hexactis,,,Forcipulatacea,,,,,,,,,
Animalia,Echinodermata,Asterozoa,Asteroidea,Valvatida,,Oreasteridae,1,,,Ambuloasteroidea,Neoasteroidea,Pentaceraster,Pentaceraster cumingi,,,Valvatacea,,,,,,,,,
Animalia,Echinodermata,Asterozoa,Asteroidea,Valvatida,,Mithrodiidae,1,,,Ambuloasteroidea,Neoasteroidea,Mithrodia,Mithrodia bradleyi,,,Valvatacea,,,,,,,,,
Animalia,Echinodermata,Asterozoa,Asteroidea,Valvatida,,Asterinidae,1,,,Ambuloasteroidea,Neoasteroidea,Patiria,Patiria miniata,,,Valvatacea,,,,,,,,,
Animalia,Mollusca,,Polyplacophora,Chitonida,Acanthochitonina,Tonicellidae,1,,,Neoloricata,,Nuttallina,,Mopalioidea,,,,,,,,,Tonicellinae,,
Animalia,Mollusca,,Polyplacophora,Chitonida,Chitonina,Chitonidae,1,,,Neoloricata,,Tonicia,Tonicia forbesii,Chitonoidea,,,,,,,,,Toniciinae,,
Animalia,Mollusca,,Polyplacophora,Chitonida,Acanthochitonina,Mopaliidae,1,,,Neoloricata,,Katharina,Katharina tunicata,Mopalioidea,,,,,,,,,Mopaliinae,,
Animalia,Mollusca,,Polyplacophora,Chitonida,Acanthochitonina,Mopaliidae,1,,,Neoloricata,,Mopalia,Mopalia muscosa,Mopalioidea,,,,,,,,,Mopaliinae,,
Animalia,Mollusca,,Polyplacophora,Chitonida,Chitonina,Chitonidae,1,,,Neoloricata,,Chiton,Chiton stokesii,Chitonoidea,,,,,,,,,Chitoninae,,
Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Carijoidae,1,,,,,Carijoa,Carijoa riisei,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Cidaroida,,Cidaridae,1,,,Cidaroidea,,Eucidaris,Eucidaris tribuloides,Cidaroidea,,,,,,,,,Cidarinae,,
Animalia,Mollusca,,Gastropoda,Littorinimorpha,,Tonnidae,1,,,Caenogastropoda,,Malea,Malea ringens,Tonnoidea,,,,,,,,,,,
Animalia,Mollusca,,Gastropoda,Neogastropoda,,Pisaniidae,1,,,Caenogastropoda,,Gemophos,,Buccinoidea,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Toxopneustidae,1,,,Euechinoidea,Carinacea,Tripneustes,Tripneustes ventricosus,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Echinometridae,1,,,Euechinoidea,Carinacea,Echinometra,Echinometra viridis,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Clypeasteroida,Clypeasterina,Clypeasteridae,1,,,Euechinoidea,Irregularia,Clypeaster,Clypeaster subdepressus,,,Luminacea,,,,Neognathostomata,,,,,
Animalia,Arthropoda,Crustacea,Malacostraca,Decapoda,Pleocyemata,Inachoididae,1,,,Eumalacostraca,,Stenorhynchus,Stenorhynchus debilis,Majoidea,Multicrustacea,Eucarida,Brachyura,Eubrachyura,Heterotremata,,,,Stenorhynchinae,,
Animalia,Mollusca,,Bivalvia,Ostreida,,Margaritidae,1,,,Autobranchia,Pteriomorphia,Pinctada,Pinctada mazatlanica,Pterioidea,,,,,,,,,,,
Animalia,Mollusca,,Gastropoda,Neogastropoda,,Austrosiphonidae,1,,,Caenogastropoda,,Kelletia,Kelletia kelletii,Buccinoidea,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Diadematoida,,Diadematidae,1,,,Euechinoidea,Aulodonta,Astropyga,Astropyga pulvinata,,,Diadematacea,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Diadematoida,,Diadematidae,1,,,Euechinoidea,Aulodonta,Diadema,Diadema mexicanum,,,Diadematacea,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Echinometridae,1,,,Euechinoidea,Carinacea,Echinometra,Echinometra vanbrunti,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Cidaroida,,Cidaridae,1,,,Cidaroidea,,Eucidaris,Eucidaris thouarsii,Cidaroidea,,,,,,,,,Cidarinae,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Toxopneustidae,1,,,Euechinoidea,Carinacea,Toxopneustes,Toxopneustes roseus,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Toxopneustidae,1,,,Euechinoidea,Carinacea,Tripneustes,Tripneustes depressus,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Mollusca,,Gastropoda,Trochida,,Turbinidae,1,,,Vetigastropoda,,Megastraea,Megastraea undosa,Trochoidea,,,,,,,,,Turbininae,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Apodida,,Synaptidae,1,,,Paractinopoda,,Leptosynapta,Leptosynapta clarki,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Dendrochirotida,,Cucumariidae,1,,,Actinopoda,,Cucumaria,Cucumaria flamma,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Dendrochirotida,,Sclerodactylidae,1,,,Actinopoda,,Eupentacta,Eupentacta quinquesemita,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Synallactida,,Stichopodidae,1,,,Actinopoda,,Apostichopus,Apostichopus californicus,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Synallactida,,Stichopodidae,1,,,Actinopoda,,Isostichopus,Isostichopus fuscus,,,,,,,,,,,,
Animalia,Echinodermata,Echinozoa,Holothuroidea,Dendrochirotida,,Cucumariidae,1,,,Actinopoda,,Pseudocnus,Pseudocnus californicus,,,,,,,,,,,,
Animalia,Mollusca,,Gastropoda,Nudibranchia,Doridina,Polyceridae,1,,,Heterobranchia,Euthyneura,Triopha,Triopha maculata,Polyceroidea,,Nudipleura,Doridoidei,,,Ringipleura,,,Triophinae,,
Animalia,Arthropoda,Crustacea,Thecostraca,Pollicipedomorpha,,Pollicipedidae,1,,,Cirripedia,Thoracica,Pollicipes,Pollicipes polymerus,,Multicrustacea,Thoracicalcarea,,,,,,,,,
Animalia,Mollusca,,Gastropoda,Nudibranchia,Doridina,Corambidae,1,,,Heterobranchia,Euthyneura,Corambe,Corambe pacifica,Onchidoridoidea,,Nudipleura,Doridoidei,,,Ringipleura,,,,,
Animalia,Porifera,,,,,,1,,,,,,,,,,,,,,,,,,
Animalia,Mollusca,,Gastropoda,Nudibranchia,Doridina,Chromodorididae,1,,,Heterobranchia,Euthyneura,Chromolaichma,Chromolaichma sedna,Chromodoridoidea,,Nudipleura,Doridoidei,,,Ringipleura,,,Chromodoridinae,,
Animalia,Mollusca,,Gastropoda,Nudibranchia,Cladobranchia,Arminidae,1,,,Heterobranchia,Euthyneura,Armina,Armina californica,Arminoidea,,Nudipleura,,,,Ringipleura,,,,,
Animalia,Mollusca,,Gastropoda,Aplysiida,,Aplysiidae,1,,,Heterobranchia,Euthyneura,Aplysia,Aplysia vaccaria,Aplysioidea,,,,,,Tectipleura,,,,,
Animalia,Mollusca,,Gastropoda,Cephalaspidea,,Haminoeidae,1,,,Heterobranchia,Euthyneura,Haminoea,Haminoea vesicula,Haminoeoidea,,,,,,Tectipleura,,,,,
Animalia,Mollusca,,Gastropoda,Nudibranchia,Cladobranchia,Tethydidae,1,,,Heterobranchia,Euthyneura,Melibe,Melibe leonina,Dendronotoidea,,Nudipleura,,,,Ringipleura,,,,,
Animalia,Mollusca,,Gastropoda,Littorinimorpha,,Cypraeidae,1,,,Caenogastropoda,,Neobernaya,Neobernaya spadicea,Cypraeoidea,,,,,,,,,Zonariinae,,Pseudozonariini
Animalia,Mollusca,,Gastropoda,Nudibranchia,Doridina,Dorididae,1,,,Heterobranchia,Euthyneura,Doris,Doris montereyensis,Doridoidea,,Nudipleura,Doridoidei,,,Ringipleura,,,,,
Animalia,Echinodermata,Echinozoa,Echinoidea,Camarodonta,,Strongylocentrotidae,1,,,Euechinoidea,Carinacea,Mesocentrotus,Mesocentrotus franciscanus,Odontophora,,,Echinidea,,,Echinacea,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,Actiniidae,1,,,,,Bunodosoma,Bunodosoma grande,Actinioidea,,,,,,,,,,,
Animalia,Mollusca,,Gastropoda,Neogastropoda,,Muricidae,1,,,Caenogastropoda,,Hexaplex,Hexaplex princeps,Muricoidea,,,,,,,,,Muricinae,,
Animalia,Cnidaria,Anthozoa,Octocorallia,Malacalcyonacea,,Gorgoniidae,1,,,,,Antillogorgia,Antillogorgia americana,,,,,,,,,,,,
Animalia,Chordata,Vertebrata,Teleostei,Perciformes,Percoidei,Serranidae,1,Gnathostomata,Osteichthyes,,,Hypoplectrus,Hypoplectrus ecosur,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Chordata,Vertebrata,Elasmobranchii,Myliobatiformes,,Aetobatidae,1,Gnathostomata,Chondrichthyes,Neoselachii,Batoidea,Aetobatus,Aetobatus laticeps,,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Vacatina,Faviidae,1,,,,,Pseudodiploria,Pseudodiploria clivosa,,,,,,,,,,Faviinae,,
Animalia,Mollusca,,Polyplacophora,Chitonida,Chitonina,Ischnochitonidae,1,,,Neoloricata,,Stenoplax,Stenoplax conspicua,Chitonoidea,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,Enthemonae,,1,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Vertebrata,Teleostei,Ovalentaria incertae sedis,,Pomacentridae,1,Gnathostomata,Osteichthyes,,,Similiparma,Similiparma lurida,,Actinopteri,,,,,,,Actinopterygii,,,
Animalia,Mollusca,,Gastropoda,Nudibranchia,Doridina,Discodorididae,1,,,Heterobranchia,Euthyneura,Diaulula,Diaulula odonoghuei,Doridoidea,,Nudipleura,Doridoidei,,,Ringipleura,,,,,
Animalia,Annelida,,Polychaeta,,,Maldanidae,1,,,Sedentaria,Scolecida,,,,,,,,,,,,,,
Animalia,Annelida,,Polychaeta,Terebellida,Terebelliformia,Terebellidae,1,,,Sedentaria,Canalipalpata,,,,,,,,,,,,,,
Animalia,Annelida,,Polychaeta,Sabellida,,Sabellidae,1,,,Sedentaria,Canalipalpata,,,,,,,,,,,,,,
Animalia,Annelida,,Polychaeta,Sabellida,,Serpulidae,1,,,Sedentaria,Canalipalpata,,,,,,,,,,,,,,
