Kingdom,Phylum,Subphylum,Class,Order,Suborder,Family,AphiaID,Infraphylum,Parvphylum,Subclass,Infraclass,Genus,Species,Superfamily,Superclass,Superorder,Infraorder,Section,Subsection,Subterclass,Subgenus,Gigaclass,Subfamily,Megaclass,Tribe
Animalia,Cnidaria,Anthozoa,Hexacorallia,Scleractinia,Refertina,Dendrophylliidae,1,,,,,Balanophyllia,Balanophyllia (Balanophyllia) regia,,,,,,,,Balanophyllia (Balanophyllia),,,,
Animalia,Cnidaria,Medusozoa,Hydrozoa,Siphonophorae,Cystonectae,Physaliidae,1,,,Hydroidolina,,Physalia,Physalia physalis,,,,,,,,,,,,
Animalia,Cnidaria,Anthozoa,Hexacorallia,Actiniaria,,,1,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Vertebrata,,Testudines,Cryptodira,Cheloniidae,1,Gnathostomata,,,,Chelonia,Chelonia mydas,Chelonioidea,Reptilia,,,,,,,,,Tetrapoda,
Animalia,Chordata,Vertebrata,,Testudines,Cryptodira,Cheloniidae,1,Gnathostomata,,,,Eretmochelys,Eretmochelys imbricata,Chelonioidea,Reptilia,,,,,,,,,Tetrapoda,
Animalia,Chordata,Tunicata,Thaliacea,Pyrosomatida,,,1,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Tunicata,Thaliacea,Pyrosomatida,,Pyrosomatidae,1,,,,,Pyrosoma,,,,,,,,,,,Pyrosomatinae,,
Animalia,Mollusca,,Gastropoda,Aplysiida,,Aplysiidae,1,,,Heterobranchia,Euthyneura,Aplysia,,Aplysioidea,,,,,,Tectipleura,,,,,
Animalia,Mollusca,,Gastropoda,Nudibranchia,Cladobranchia,Eubranchidae,1,,,Heterobranchia,Euthyneura,Eubranchus,,Fionoidea,,Nudipleura,,,,Ringipleura,,,,,
Animalia,Mollusca,,Cephalopoda,Octopoda,Incirrata,Octopodidae,1,,,Coleoidea,,Octopus,,Octopodoidea,,Octopodiformes,,,,,,,,,
Animalia,Mollusca,,Bivalvia,Pectinida,,Spondylidae,1,,,Autobranchia,Pteriomorphia,Spondylus,,Pectinoidea,,,,,,,,,,,
